nodes,area,angles,perimeter,avg_density,avg_entropy,cell_type_diversity,max_distance,min_distance,avg_distance,std_distance,density_dispersion,triangle_inequality_ratio,aspect_ratio
"[0, 1, 4]",3524.0,"[0.8206362148302072, 1.1135253109384458, 1.2074311278211405]",274.75554366796666,76.7335220359202,0.12559005375214558,1,100.17983829094555,78.40918313565064,91.58518122265555,11.585847859350308,0.09295828995473245,0.5738475355124181,1.2776544058319155
"[0, 1, 774]",3234.0,"[0.9061668015329285, 1.2383700214107993, 0.9970558306460652]",261.6936203335921,68.30558789453487,0.0,1,96.16652224137046,80.0812087820857,87.23120677786403,8.189923449965402,0.10951200848634202,0.5809714744578698,1.2008625207326176
"[0, 4, 7]",2730.0,"[0.7373180916691807, 0.858381510642611, 1.5458930512780016]",251.64154121451503,82.2698631516645,0.12559005375214558,1,103.57605900979242,69.65629906907199,83.88051373817167,17.609347589578327,0.10880725039720363,0.699528731933504,1.4869589741924876
"[0, 7, 771]",2006.0,"[0.7998093022110638, 1.0044381428248363, 1.337345208553893]",209.16500558319012,78.5633371643547,0.0,1,80.30566605165541,59.20304046246274,69.72166852773005,10.55146466439642,0.12170542465340894,0.6232040792976659,1.3564449633726605
"[0, 771, 772]",595.0,"[1.1172835059203279, 1.6379222149969974, 0.38638693267246815]",134.90226164983898,61.40753406848716,0.0,1,59.20304046246274,22.360679774997894,44.967420549946326,19.796379305984143,0.3289506795762021,0.7820825569119008,2.6476404589747458
"[0, 771, 773]",1693.5,"[1.2279407270942237, 0.9385852913720876, 0.9750666351234821]",189.0642554389224,74.19258926277615,0.0,1,69.1158447825099,59.20304046246274,63.0214184796408,5.333968430819987,0.028424067656493947,0.5762130936481477,1.1674374194739592
"[0, 772, 773]",1023.5,"[1.6783426376010355, 0.8745703135377435, 0.5886797024510142]",161.0549043261258,62.2788372596411,0.0,1,69.1158447825099,38.60051813123757,53.6849681087086,15.260612659733242,0.33788824472423884,0.751757143542689,1.7905418924047478
"[0, 773, 774]",605.0,"[2.046926861622233, 0.874272338210556, 0.22039345375700378]",168.8947691681878,69.47118110870063,0.0,1,80.0812087820857,19.697715603592208,56.29825638939593,32.16767774134092,0.1257353632809097,0.9016777216671197,4.06550741180777
"[1, 2, 4]",1767.0,"[1.3839794976206028, 0.3588404555643713, 1.3987727004048192]",236.43385790166334,75.63214179339722,0.12559005375214558,1,100.44899203078148,35.805027579936315,78.81128596722111,37.244755419915776,0.11001145434177187,0.7386777299626723,2.8054437831816954
"[1, 2, 778]",1245.5,"[0.9922089386437652, 0.4409642924516132, 1.7084194224944147]",189.13667597271672,63.20568912359685,0.0,1,83.09632964216891,35.805027579936315,63.045558657572236,24.451713648166383,0.21502786099310292,0.7836293686097737,2.3208006042350524
