nodes,area,angles,perimeter,avg_density,avg_entropy,cell_type_diversity,max_distance,min_distance,avg_distance,std_distance,density_dispersion,triangle_inequality_ratio,aspect_ratio
"[0, 1, 4]",1435.5,"[2.7915050152297822, 0.13975617105380406, 0.2103314673062067]",370.74450315293916,115.30224834275789,0.2757771233742471,1,184.00271737123884,74.73285756613352,123.58150105097972,55.54654712023103,0.5112946082808041,0.9853323218528958,2.462139457311784
"[0, 1, 8]",2742.5,"[1.4010686562726096, 0.8723930987405983, 0.8681308985765853]",245.37453463901608,125.21904253195719,0.15018706962210152,1,96.17692030835671,74.46475676452586,81.7915115463387,12.458850607006822,0.4320734768912102,0.6446277357706574,1.29157637098701
"[0, 4, 30]",3546.0,"[2.773010914542781, 0.2335950071862373, 0.13498673186077553]",577.3794201661632,117.49341172393031,0.12559005375214558,1,286.40006983239374,106.97663296253066,192.4598067220544,90.01018939411357,0.48376852961988387,0.9842625241408952,2.677220827586782
"[0, 8, 11]",4077.5,"[2.6655038114526306, 0.16153672369094849, 0.31455211844621467]",555.2479431654855,147.55675744569513,0.0,1,274.0602123621742,96.17692030835671,185.0826477218285,88.94166778521924,0.2265523911996494,0.9746521001440039,2.8495424004376377
"[1, 2, 6]",410.0,"[2.671772283484206, 0.15522959789830923, 0.31459077220727727]",178.3820529891251,60.71105242116952,0.4536933168976338,2,88.09086218218096,30.083217912982647,59.460684329708364,29.01104149395815,0.21648537567928317,0.9756307497431526,2.9282393405183114
"[1, 2, 8]",1112.5,"[1.0884509860872664, 0.3660189665640017, 1.6871227009385255]",188.03450053647572,81.73526038321097,0.31698787746816415,1,83.48652585896721,30.083217912982647,62.67816684549191,28.586204738177805,0.39690223294242327,0.7985475196099397,2.775186022334996
"[1, 4, 6]",438.0,"[0.3117841069904353, 2.740910384067967, 0.08889816253139059]",225.59488796571168,72.15533774454138,0.41248256280371676,2,112.0089282155668,25.495097567963924,75.19829598857056,44.67465076106356,0.23518508895782794,0.9861159641733267,4.39335162052145
"[2, 3, 6]",723.0,"[1.7912219682706656, 0.6373283476885032, 0.7130423376306243]",137.28396453655427,54.57751127117596,0.4536933168976338,2,60.20797289396148,36.71511950137164,45.76132151218476,12.643266199352368,0.04690753497341919,0.7811508046909136,1.639868634819837
"[2, 3, 8]",1489.0,"[0.9624632423931747, 0.3692097112191293, 1.8099196999774896]",219.0449557055514,75.60171923321741,0.31698787746816415,1,98.84331034521254,36.71511950137164,73.0149852351838,32.360746231489145,0.471951166199835,0.8223124571123916,2.6921691032905355
"[3, 5, 6]",582.0,"[0.8650069264895942, 0.5801657733912413, 1.6964199537089577]",122.04154160058202,52.358136134876965,0.43707957867367275,2,52.61178575186362,29.068883707497267,40.68051386686067,11.774705401505159,0.11192695621280731,0.7577699951372475,1.8099004516741837
"[3, 5, 9]",691.0,"[2.2479152810939738, 0.27857297265305614, 0.6151043998427632]",172.45820340368118,59.409685701262525,0.30037413924420303,1,82.38931969618392,29.068883707497267,57.48606780122706,26.833337718761108,0.24421459729924166,0.9147367692903459,2.8342787609327624
"[3, 8, 9]",3821.0,"[0.8323563562611862, 1.0912605543645815, 1.2179757429640254]",285.7792703508775,82.99014035013268,0.15018706962210152,1,104.546640309481,82.38931969618392,95.25975678362583,11.505133909984737,0.3669752105412494,0.5768643333465991,1.268934380026485
"[4, 6, 7]",701.5,"[1.585763135019518, 0.4311387407187822, 1.124690777851493]",141.53144919123196,62.36060527150833,0.3990009326110849,2,61.0,25.495097567963924,47.177149730410655,19.01249102489256,0.34633322707890407,0.7574680527001061,2.392616848685845
"[4, 7, 37]",1281.0,"[0.9048270894157868, 1.2539718409266774, 0.9827937232473292]",164.89119930079042,58.51458029112889,0.2622954931816152,1,61.0,50.47771785649585,54.963733100263475,5.429738992299935,0.42261147649116104,0.5871527175597433,1.208453998919249
"[4, 30, 33]",792.0,"[0.35568298967544865, 2.5687749116794443, 0.21713475223490109]",218.22857732322757,70.83024165624182,0.12559005375214558,1,106.97663296253066,42.5205832509386,72.74285910774252,32.41472926381894,0.340722563631778,0.9615709062638492,2.51587877643163
"[4, 33, 37]",1162.0,"[0.8247338556818676, 1.5828439366490825, 0.7340148612588427]",165.2525366991395,57.37895301640062,0.12559005375214558,1,68.73136110975832,46.04345773288535,55.08417889971317,12.024967875906786,0.4464930902649831,0.7120858266599877,1.4927497736702064
"[5, 6, 7]",798.0,"[0.5837880691140473, 1.204084425501668, 1.353720158974078]",138.7125865091498,48.696944811837476,0.4235979484810408,2,55.03635162326805,31.064449134018133,46.23752883638326,13.196074820072004,0.08796383195055245,0.6577297807236072,1.7716828451014992
"[5, 7, 59]",601.0,"[1.812248358774195, 0.5678960781374452, 0.7614482166781531]",126.99446639560048,46.6282475823816,0.41248256280371676,1,56.08029957123981,31.064449134018133,42.33148879853349,12.69124044959552,0.01588718978569225,0.7908194100360623,1.8052887186023607
"[5, 9, 59]",1488.0,"[0.9712522228141773, 1.1152457068318287, 1.0550947239437873]",176.17344638201644,56.06042934351084,0.2757771233742471,1,61.0,56.08029957123981,58.72448212733881,2.480483483879004,0.2896060700674851,0.5296359700626684,1.0877260012227752
"[7, 37, 40]",964.5,"[0.7366203175587007, 1.194139183200439, 1.2108331528306535]",145.7597644303065,43.40750473969371,0.2868925090515712,1,53.75872022286245,38.58756276314948,48.5865881434355,8.661130345991785,0.06176606804903758,0.5843272833039508,1.3931618473245786
"[7, 40, 59]",507.0,"[1.253490187579214, 1.1680489260720786, 0.7200535399385009]",106.0959138253707,45.18483249061726,0.41248256280371676,1,39.84971769034255,27.65863337187866,35.3653046084569,6.7039424912946695,0.06882369665566604,0.6015397111876092,1.440769583751702
"[8, 9, 12]",5539.5,"[1.881131231410264, 0.6074507885996879, 0.6530106335798412]",390.2507241721891,92.19140254618488,0.0,1,174.4161689752415,104.546640309481,130.08357472406303,38.54082744977936,0.23695560303217195,0.8081012274243478,1.6683096506873043
"[8, 11, 12]",8082.5,"[1.1991201439250707, 1.4177797803025234, 0.5246927293621994]",453.20330910619754,114.89166817182665,0.0,1,185.0108104949546,93.77632963600144,151.06776970206585,49.897829971506724,0.2519563611061896,0.6898433455558205,1.9728945589263878
"[9, 10, 12]",1305.0,"[2.01119231298524, 0.2498028848332601, 0.8805974557712933]",236.570057344009,70.93240245991838,0.0,1,111.28791488746656,30.4138126514911,78.85668578133634,42.74850478525979,0.23146164674547393,0.8882983057706714,3.6591241013648594
"[9, 10, 59]",831.0,"[1.4267940121430984, 0.5344277712804805, 1.1803708701662146]",144.72471023138183,58.381883906114474,0.12559005375214558,1,59.09314681077663,30.4138126514911,48.24157007712728,15.560410493956375,0.2478913541040043,0.6900860436299971,1.9429706984756963
"[10, 12, 62]",1995.0,"[0.5624242010684689, 1.5981078297918243, 0.9810606227294999]",224.34796966741533,63.19922854963405,0.12559005375214558,1,94.86832980505136,50.60632371551998,74.7826565558051,22.41275122970732,0.30001216298402605,0.7326891695551192,1.8746338963159477
"[10, 59, 60]",646.5,"[0.6437796344568647, 1.7250144180656974, 0.772798601067231]",127.77158883787325,50.02320783772161,0.3532260886523028,1,55.21775076911409,33.54101966249684,42.590529612624415,11.272541016747006,0.055254181142582896,0.7610589906599333,1.646275257125072
"[10, 60, 62]",753.0,"[1.3474919316108875, 0.7027609637243886, 1.091339758254517]",130.19080111090216,51.410280723278696,0.3532260886523028,1,50.60632371551998,33.54101966249684,43.396933703634055,8.835112771413012,0.031431978218276924,0.6358818374103737,1.5087890655901655
"[11, 12, 15]",2366.0,"[1.1170022894656737, 1.394292274841485, 0.6302980892826345]",235.53442419849023,96.34758468694734,0.0,1,93.77632963600144,56.1426753904728,78.51147473283008,19.797032679527483,0.43649676092949924,0.6615236323923895,1.6703217113147215
"[11, 15, 16]",1375.5,"[0.6602219583360892, 1.8531241613942124, 0.6282465338594916]",192.6799144930815,96.88032492112939,0.0,1,85.61541917201598,52.392747589718944,64.2266381643605,18.558244129132138,0.4319857644054829,0.7996621000759593,1.6341082136493321
"[11, 16, 19]",3643.5,"[1.870779637562094, 0.32371068661103786, 0.9471023294166614]",358.38986800263467,112.69154283467219,0.0,1,164.20109622045769,54.67174773134658,119.46328933421155,57.452447747469215,0.25146921659662336,0.8455746164595104,3.003399434518377
"[12, 13, 14]",414.5,"[1.6033541786673786, 0.8031986158179122, 0.7350398591045024]",99.07244403946962,53.093834411351054,0.0,1,41.43669871020132,27.80287754891569,33.02414801315654,7.355846110930668,0.5219698874701072,0.7189409709803674,1.4903744634812934
"[12, 13, 15]",578.0,"[1.8424568892076896, 0.5373818425421214, 0.7617539218399824]",126.19991389306293,60.800128490724966,0.0,1,56.1426753904728,29.8328677803526,42.06663796435431,13.25130014617121,0.40160025506747804,0.8013829347326775,1.881906754785652
"[12, 14, 62]",1208.0,"[1.7685102565798978, 0.5411508150444077, 0.8319315819654877]",179.77428984631933,58.20785107164735,0.12559005375214558,1,78.87331614684399,41.43669871020132,59.92476328210645,18.722556405984236,0.41659703597342246,0.7816903371196516,1.9034652518644333
"[13, 14, 86]",536.5,"[1.5512275296217324, 0.6308574725196112, 0.9595076514484497]",113.53088235194599,44.854770032156345,0.0,1,47.12748667179272,27.80287754891569,37.84362745064866,9.684513000908579,0.3000099147941341,0.7097150106418163,1.695057879849947
"[13, 15, 86]",903.5,"[0.6896438700636932, 0.5740821956700315, 1.8778665878560687]",157.95638982644567,52.56106411153025,0.0,1,70.60453243241541,40.22437072223753,52.652129942148555,15.925759599863849,0.26888659727582337,0.8082774028940181,1.7552675446425963
"[14, 62, 84]",508.0,"[0.36385426045692043, 1.9139449632683236, 0.8637934298645492]",129.94689558014946,39.38034387946832,0.12559005375214558,1,59.46427498927402,22.47220505424423,43.31563186004982,18.93763593606538,0.2936018996134657,0.8436728726992333,2.646125506853332
"[14, 84, 86]",417.5,"[1.2580545376886714, 0.5870826406056269, 1.2964554752954949]",100.12397156501507,42.304725168520434,0.0,1,39.05124837953327,22.47220505424423,33.374657188338354,9.444489734302344,0.38584829024644546,0.6394220912817676,1.7377577449685038
"[15, 16, 17]",1609.5,"[0.8816759690231489, 0.7180032834121433, 1.541913401154501]",193.46346123928166,83.3339757502115,0.0,1,79.60527620704548,52.392747589718944,64.48782041309389,13.855739877495813,0.24948574150230157,0.6991616473115848,1.5193949519583214
